sat_id,frame_chain,n_compared,residual_median_km,residual_p75_km,residual_p95_km,residual_max_km
45184,gcrs_vs_raw,324,12.953,31.498,47.957,70.97
45184,meme_j2000,324,12.953,31.498,47.957,70.97
45184,meme_of_date,324,30.017,36.895,71.161,105.349
45184,teme_direct,324,30.044,36.853,71.055,105.201
51801,gcrs_vs_raw,262,2.157,2.988,4.117,5.209
51801,meme_j2000,262,2.157,2.987,4.117,5.209
51801,meme_of_date,262,34.153,39.21,41.85,43.628
51801,teme_direct,262,34.064,39.158,41.793,43.598
53728,gcrs_vs_raw,258,4.965,8.128,10.491,11.841
53728,meme_j2000,258,4.966,8.129,10.491,11.841
53728,meme_of_date,258,32.809,40.391,43.712,45.312
53728,teme_direct,258,32.978,40.277,43.683,45.326
56416,gcrs_vs_raw,297,2.115,4.132,7.515,9.379
56416,meme_j2000,297,2.115,4.133,7.515,9.38
56416,meme_of_date,297,33.241,40.255,43.726,45.963
56416,teme_direct,297,33.207,40.246,43.709,46.0
57126,gcrs_vs_raw,288,1.709,2.733,4.216,4.921
57126,meme_j2000,288,1.709,2.733,4.216,4.922
57126,meme_of_date,288,38.006,41.174,43.987,45.542
57126,teme_direct,288,37.89,41.156,43.958,45.516
57249,gcrs_vs_raw,246,1.299,4.863,32.613,36.761
57249,meme_j2000,246,1.299,4.863,32.613,36.761
57249,meme_of_date,246,39.795,41.669,44.439,46.598
57249,teme_direct,246,39.893,41.722,44.499,46.6
60150,gcrs_vs_raw,280,3.258,4.375,6.186,7.281
60150,meme_j2000,280,3.258,4.375,6.186,7.281
60150,meme_of_date,280,38.235,41.218,44.292,47.264
60150,teme_direct,280,38.124,41.15,44.262,47.226
61866,gcrs_vs_raw,312,0.576,1.267,2.691,4.077
61866,meme_j2000,312,0.576,1.267,2.691,4.077
61866,meme_of_date,312,40.301,41.258,43.09,43.806
61866,teme_direct,312,40.322,41.265,43.07,43.796
