sat_id,epoch_utc,propagation_age_hours,residual_km
45184,2024-11-26T06:00:42Z,6.011,0.312
45184,2024-11-26T06:10:42Z,6.178,0.3498
45184,2024-11-26T06:20:42Z,6.345,0.4299
45184,2024-11-26T06:30:42Z,6.511,0.5042
45184,2024-11-26T06:40:42Z,6.678,0.5425
45184,2024-11-26T06:50:42Z,6.845,0.4913
45184,2024-11-26T07:00:42Z,7.011,0.3627
45184,2024-11-26T07:10:42Z,7.178,0.4899
45184,2024-11-26T07:20:42Z,7.345,0.9259
45184,2024-11-26T07:30:42Z,7.511,1.3118
45184,2024-11-26T07:40:42Z,7.678,1.5136
45184,2024-11-26T07:50:42Z,7.845,1.4396
45184,2024-11-26T08:00:42Z,8.011,1.1258
45184,2024-11-26T08:10:42Z,8.178,0.7124
45184,2024-11-26T08:20:42Z,8.345,0.3774
45184,2024-11-26T08:30:42Z,8.511,0.2921
45184,2024-11-26T08:40:42Z,8.678,0.382
45184,2024-11-26T08:50:42Z,8.845,0.4788
45184,2024-11-26T09:00:42Z,9.011,0.5385
45184,2024-11-26T09:10:42Z,9.178,0.4637
45184,2024-11-26T09:20:42Z,9.345,0.4173
45184,2024-11-26T09:30:42Z,9.511,0.7807
45184,2024-11-26T09:40:42Z,9.678,1.211
45184,2024-11-26T09:50:42Z,9.845,1.4384
45184,2024-11-26T10:00:42Z,10.011,1.3411
45184,2024-11-26T10:10:42Z,10.178,0.9587
45184,2024-11-26T10:20:42Z,10.345,0.5852
45184,2024-11-26T10:30:42Z,10.511,0.5609
45184,2024-11-26T10:40:42Z,10.678,0.7109
45184,2024-11-26T10:50:42Z,10.845,0.7211
45184,2024-11-26T11:00:42Z,11.011,0.5982
45184,2024-11-26T11:10:42Z,11.178,0.5313
45184,2024-11-26T11:20:42Z,11.345,0.6058
45184,2024-11-26T11:30:42Z,11.511,0.7741
45184,2024-11-26T11:40:42Z,11.678,0.802
45184,2024-11-26T11:50:42Z,11.845,0.6716
45184,2024-11-26T22:00:42Z,0.011,0.7875
45184,2024-11-26T22:10:42Z,0.178,0.555
45184,2024-11-26T22:20:42Z,0.345,0.7948
45184,2024-11-26T22:30:42Z,0.511,0.919
45184,2024-11-26T22:40:42Z,0.678,0.8599
45184,2024-11-26T22:50:42Z,0.845,0.6962
45184,2024-11-26T23:00:42Z,1.011,0.4721
45184,2024-11-26T23:10:42Z,1.178,0.4119
45184,2024-11-26T23:20:42Z,1.345,0.6803
45184,2024-11-26T23:30:42Z,1.511,0.9898
45184,2024-11-26T23:40:42Z,1.678,1.1373
45184,2024-11-26T23:50:42Z,1.845,1.0583
45184,2024-11-27T00:00:42Z,2.011,0.8128
45184,2024-11-27T00:10:42Z,2.178,0.5407
45184,2024-11-27T00:20:42Z,2.345,0.5536
45184,2024-11-27T00:30:42Z,2.511,0.7959
45184,2024-11-27T00:40:42Z,2.678,0.94
45184,2024-11-27T00:50:42Z,2.845,0.9269
45184,2024-11-27T01:00:42Z,3.011,0.8044
45184,2024-11-27T01:10:42Z,3.178,0.7008
45184,2024-11-27T01:20:42Z,3.345,0.8061
45184,2024-11-27T01:30:42Z,3.511,1.2823
45184,2024-11-27T01:40:42Z,3.678,2.0209
45184,2024-11-27T01:50:42Z,3.845,2.9
45184,2024-11-27T02:00:42Z,4.011,3.7715
45184,2024-11-27T02:10:42Z,4.178,4.487
45184,2024-11-27T02:20:42Z,4.345,4.9815
45184,2024-11-27T02:30:42Z,4.511,5.3045
45184,2024-11-27T02:40:42Z,4.678,5.5637
45184,2024-11-27T02:50:42Z,4.845,5.9589
45184,2024-11-27T03:00:42Z,5.011,6.6446
45184,2024-11-27T03:10:42Z,5.178,7.6174
45184,2024-11-27T03:20:42Z,5.345,8.8029
45184,2024-11-27T03:30:42Z,5.511,10.0541
45184,2024-11-27T03:40:42Z,5.678,11.2009
45184,2024-11-27T03:50:42Z,5.845,12.1352
45184,2024-11-27T04:00:42Z,6.011,12.8749
45184,2024-11-27T04:10:42Z,6.178,13.5366
45184,2024-11-27T04:20:42Z,6.345,14.286
45184,2024-11-27T04:30:42Z,6.511,14.3212
45184,2024-11-27T04:40:42Z,6.678,15.5292
45184,2024-11-27T04:50:42Z,6.845,16.9053
45184,2024-11-27T05:00:42Z,7.011,18.3566
45184,2024-11-27T05:10:42Z,7.178,19.7203
45184,2024-11-27T05:20:42Z,7.345,20.9387
45184,2024-11-27T05:30:42Z,7.511,22.0281
45184,2024-11-27T05:40:42Z,7.678,23.094
45184,2024-11-27T05:50:42Z,7.845,24.2582
45184,2024-11-27T06:00:42Z,8.011,25.6343
45184,2024-11-27T06:10:42Z,8.178,27.2375
45184,2024-11-27T06:20:42Z,8.345,28.9748
45184,2024-11-27T06:30:42Z,8.511,30.7674
45184,2024-11-27T06:40:42Z,8.678,32.4825
45184,2024-11-27T06:50:42Z,8.845,34.0324
45184,2024-11-27T07:00:42Z,9.011,35.4728
45184,2024-11-27T07:10:42Z,9.178,36.9122
45184,2024-11-27T07:20:42Z,9.345,38.4801
45184,2024-11-27T07:30:42Z,9.511,40.2869
45184,2024-11-27T07:40:42Z,9.678,42.379
45184,2024-11-27T07:50:42Z,9.845,44.6578
45184,2024-11-27T08:00:42Z,10.011,46.9691
45184,2024-11-27T08:10:42Z,10.178,49.158
45184,2024-11-27T08:20:42Z,10.345,51.0325
45184,2024-11-27T08:30:42Z,10.511,52.6592
45184,2024-11-27T08:40:42Z,10.678,54.2361
45184,2024-11-27T08:50:42Z,10.845,55.9891
45184,2024-11-27T09:00:42Z,11.011,58.0551
45184,2024-11-27T09:10:42Z,11.178,60.4806
45184,2024-11-27T09:20:42Z,11.345,63.1768
45184,2024-11-27T09:30:42Z,11.511,65.9566
45184,2024-11-27T09:40:42Z,11.678,68.6252
45184,2024-11-27T09:50:42Z,11.845,70.9696
45184,2024-11-28T00:00:42Z,0.011,4.7408
45184,2024-11-28T00:10:42Z,0.178,4.9049
45184,2024-11-28T00:20:42Z,0.345,5.029
45184,2024-11-28T00:30:42Z,0.511,5.123
45184,2024-11-28T00:40:42Z,0.678,5.1972
45184,2024-11-28T00:50:42Z,0.845,5.2197
45184,2024-11-28T01:00:42Z,1.011,5.2096
45184,2024-11-28T01:10:42Z,1.178,5.1973
45184,2024-11-28T01:20:42Z,1.345,5.2216
45184,2024-11-28T01:30:42Z,1.511,5.3272
45184,2024-11-28T01:40:42Z,1.678,5.552
45184,2024-11-28T01:50:42Z,1.845,5.8391
45184,2024-11-28T02:00:42Z,2.011,6.128
45184,2024-11-28T02:10:42Z,2.178,6.3843
45184,2024-11-28T02:20:42Z,2.345,6.5645
45184,2024-11-28T02:30:42Z,2.511,6.6668
45184,2024-11-28T02:40:42Z,2.678,6.7171
45184,2024-11-28T02:50:42Z,2.845,6.7508
45184,2024-11-28T03:00:42Z,3.011,6.8349
45184,2024-11-28T03:10:42Z,3.178,7.0291
45184,2024-11-28T03:20:42Z,3.345,7.344
45184,2024-11-28T03:30:42Z,3.511,7.7113
45184,2024-11-28T03:40:42Z,3.678,8.0638
45184,2024-11-28T03:50:42Z,3.845,8.3578
45184,2024-11-28T04:00:42Z,4.011,8.5579
45184,2024-11-28T04:10:42Z,4.178,8.7067
45184,2024-11-28T04:20:42Z,4.345,8.8088
45184,2024-11-28T04:30:42Z,4.511,8.9163
45184,2024-11-28T04:40:42Z,4.678,9.0848
45184,2024-11-28T04:50:42Z,4.845,9.333
45184,2024-11-28T05:00:42Z,5.011,9.6394
45184,2024-11-28T05:10:42Z,5.178,9.9718
45184,2024-11-28T05:20:42Z,5.345,10.31
45184,2024-11-28T05:30:42Z,5.511,10.6192
45184,2024-11-28T05:40:42Z,5.678,10.8818
45184,2024-11-28T05:50:42Z,5.845,11.0983
45184,2024-11-28T06:00:42Z,6.011,11.2424
45184,2024-11-28T06:10:42Z,6.178,11.3701
45184,2024-11-28T06:20:42Z,6.345,11.5129
45184,2024-11-28T06:30:42Z,6.511,11.6874
45184,2024-11-28T06:40:42Z,6.678,11.8815
45184,2024-11-28T06:50:42Z,6.845,12.0918
45184,2024-11-28T07:00:42Z,7.011,12.3334
45184,2024-11-28T07:10:42Z,7.178,12.5958
45184,2024-11-28T07:20:42Z,7.345,12.9188
45184,2024-11-28T07:30:42Z,7.511,13.245
45184,2024-11-28T07:40:42Z,7.678,13.5401
45184,2024-11-28T07:50:42Z,7.845,13.791
45184,2024-11-28T08:00:42Z,8.011,13.986
45184,2024-11-28T08:10:42Z,8.178,14.1089
45184,2024-11-28T08:20:42Z,8.345,14.173
45184,2024-11-28T08:30:42Z,8.511,14.2667
45184,2024-11-28T08:40:42Z,8.678,14.4677
45184,2024-11-28T08:50:42Z,8.845,14.8117
45184,2024-11-28T09:00:42Z,9.011,15.3238
45184,2024-11-28T09:10:42Z,9.178,15.9045
45184,2024-11-28T09:20:42Z,9.345,16.4387
45184,2024-11-28T09:30:42Z,9.511,16.8104
45184,2024-11-28T09:40:42Z,9.678,17.0033
45184,2024-11-28T09:50:42Z,9.845,17.0811
45184,2024-11-28T10:00:42Z,10.011,17.1641
45184,2024-11-28T10:10:42Z,10.178,17.3524
45184,2024-11-28T10:20:42Z,10.345,17.6691
45184,2024-11-28T10:30:42Z,10.511,18.1077
45184,2024-11-28T10:40:42Z,10.678,18.5911
45184,2024-11-28T10:50:42Z,10.845,19.0134
45184,2024-11-28T11:00:42Z,11.011,19.2953
45184,2024-11-28T11:10:42Z,11.178,19.4112
45184,2024-11-28T11:20:42Z,11.345,19.4027
45184,2024-11-28T11:30:42Z,11.511,19.3802
45184,2024-11-28T11:40:42Z,11.678,19.4817
45184,2024-11-28T11:50:42Z,11.845,19.7693
45184,2024-11-28T22:00:42Z,0.011,6.5976
45184,2024-11-28T22:10:42Z,0.178,6.6895
45184,2024-11-28T22:20:42Z,0.345,6.8355
45184,2024-11-28T22:30:42Z,0.511,6.9735
45184,2024-11-28T22:40:42Z,0.678,7.0731
45184,2024-11-28T22:50:42Z,0.845,7.1368
45184,2024-11-28T23:00:42Z,1.011,7.1989
45184,2024-11-28T23:10:42Z,1.178,7.3097
45184,2024-11-28T23:20:42Z,1.345,7.4623
45184,2024-11-28T23:30:42Z,1.511,7.6361
45184,2024-11-28T23:40:42Z,1.678,7.7868
45184,2024-11-28T23:50:42Z,1.845,7.8299
45184,2024-11-29T00:00:42Z,2.011,7.759
45184,2024-11-29T00:10:42Z,2.178,7.6281
45184,2024-11-29T00:20:42Z,2.345,7.5288
45184,2024-11-29T00:30:42Z,2.511,7.5608
45184,2024-11-29T00:40:42Z,2.678,7.8037
45184,2024-11-29T00:50:42Z,2.845,8.2003
45184,2024-11-29T01:00:42Z,3.011,8.6309
45184,2024-11-29T01:10:42Z,3.178,8.9894
45184,2024-11-29T01:20:42Z,3.345,9.1968
45184,2024-11-29T01:30:42Z,3.511,9.2227
45184,2024-11-29T01:40:42Z,3.678,9.1197
45184,2024-11-29T01:50:42Z,3.845,8.9786
45184,2024-11-29T02:00:42Z,4.011,8.9243
45184,2024-11-29T02:10:42Z,4.178,9.0667
45184,2024-11-29T02:20:42Z,4.345,9.4393
45184,2024-11-29T02:30:42Z,4.511,9.9334
45184,2024-11-29T02:40:42Z,4.678,10.403
45184,2024-11-29T02:50:42Z,4.845,10.7337
45184,2024-11-29T03:00:42Z,5.011,10.8541
45184,2024-11-29T03:10:42Z,5.178,10.8192
45184,2024-11-29T03:20:42Z,5.345,10.7115
45184,2024-11-29T03:30:42Z,5.511,10.6575
45184,2024-11-29T03:40:42Z,5.678,10.778
45184,2024-11-29T03:50:42Z,5.845,11.1063
45184,2024-11-29T04:00:42Z,6.011,11.575
45184,2024-11-29T04:10:42Z,6.178,12.0598
45184,2024-11-29T04:20:42Z,6.345,12.4622
45184,2024-11-29T04:30:42Z,6.511,12.7197
45184,2024-11-29T04:40:42Z,6.678,12.817
45184,2024-11-29T04:50:42Z,6.845,12.8244
45184,2024-11-29T05:00:42Z,7.011,12.7867
45184,2024-11-29T05:10:42Z,7.178,12.8198
45184,2024-11-29T05:20:42Z,7.345,12.9868
45184,2024-11-29T05:30:42Z,7.511,13.2797
45184,2024-11-29T05:40:42Z,7.678,13.6227
45184,2024-11-29T05:50:42Z,7.845,13.9362
45184,2024-11-29T06:00:42Z,8.011,14.1796
45184,2024-11-29T06:10:42Z,8.178,14.3227
45184,2024-11-29T06:20:42Z,8.345,14.4185
45184,2024-11-29T06:30:42Z,8.511,14.4956
45184,2024-11-29T06:40:42Z,8.678,14.593
45184,2024-11-29T06:50:42Z,8.845,14.7672
45184,2024-11-29T07:00:42Z,9.011,15.0074
45184,2024-11-29T07:10:42Z,9.178,15.2402
45184,2024-11-29T07:20:42Z,9.345,15.3815
45184,2024-11-29T07:30:42Z,9.511,15.4376
45184,2024-11-29T07:40:42Z,9.678,15.4701
45184,2024-11-29T07:50:42Z,9.845,15.5435
45184,2024-11-29T08:00:42Z,10.011,15.7642
45184,2024-11-29T08:10:42Z,10.178,16.107
45184,2024-11-29T08:20:42Z,10.345,16.5297
45184,2024-11-29T08:30:42Z,10.511,16.9297
45184,2024-11-29T08:40:42Z,10.678,17.2283
45184,2024-11-29T08:50:42Z,10.845,17.384
45184,2024-11-29T09:00:42Z,11.011,17.4256
45184,2024-11-29T09:10:42Z,11.178,17.4366
45184,2024-11-29T09:20:42Z,11.345,17.4881
45184,2024-11-29T09:30:42Z,11.511,17.6633
45184,2024-11-29T09:40:42Z,11.678,17.9963
45184,2024-11-29T09:50:42Z,11.845,18.4285
45184,2024-11-30T00:00:42Z,0.011,29.1068
45184,2024-11-30T00:10:42Z,0.178,29.6681
45184,2024-11-30T00:20:42Z,0.345,30.052
45184,2024-11-30T00:30:42Z,0.511,30.1617
45184,2024-11-30T00:40:42Z,0.678,30.0243
45184,2024-11-30T00:50:42Z,0.845,29.7527
45184,2024-11-30T01:00:42Z,1.011,29.5362
